iter	Passed	Remaining
190	701	2971
191	703	2958
192	735	3077
193	741	3079
194	747	3085
195	751	3083
196	754	3073
197	756	3066
198	761	3064
199	767	3069
200	771	3067
201	774	3057
202	776	3048
203	780	3045
204	781	3030
205	784	3024
206	788	3019
207	790	3008
208	793	3003
209	794	2989
210	798	2985
211	801	2979
212	803	2969
213	804	2954
214	807	2948
215	810	2942
216	813	2935
217	817	2930
218	818	2920
219	820	2909
220	822	2899
221	825	2893
222	828	2888
223	830	2875
224	833	2870
225	834	2858
226	838	2855
227	840	2844
228	842	2835
229	843	2824
230	846	2817
231	849	2810
232	851	2801
233	852	2790
234	853	2779
235	855	2770
236	857	2760
237	859	2750
238	861	2743
239	863	2733
240	864	2723
241	867	2718
242	870	2712
243	872	2704
244	875	2697
245	877	2688
246	878	2677
247	879	2667
248	882	2661
249	884	2652
250	887	2647
251	888	2638
252	890	2629
253	894	2626
254	897	2622
255	900	2617
256	903	2613
257	905	2604
258	906	2593
259	907	2584
260	911	2580
261	914	2575
262	915	2565
263	922	2572
264	931	2583
265	933	2577
266	937	2572
267	940	2569
268	942	2561
269	945	2556
270	948	2551
271	950	2543
272	951	2534
273	952	2524
274	954	2517
275	958	2514
276	961	2508
277	963	2501
278	964	2493
279	966	2484
280	969	2479
281	972	2475
282	975	2471
283	976	2462
284	978	2455
285	979	2445
286	981	2437
287	984	2433
288	985	2424
289	986	2415
290	988	2409
291	992	2405
292	995	2402
293	997	2395
294	999	2388
295	1001	2381
296	1002	2372
297	1003	2364
298	1006	2359
299	1008	2352
300	1009	2344
301	1012	2339
302	1015	2335
303	1018	2332
304	1021	2328
305	1024	2322
306	1027	2319
307	1028	2311
308	1030	2304
309	1034	2302
310	1037	2297
311	1044	2304
312	1053	2312
313	1055	2306
314	1059	2304
315	1063	2302
316	1067	2300
317	1070	2296
318	1073	2291
319	1076	2287
320	1077	2279
321	1080	2275
322	1086	2277
323	1090	2274
324	1091	2266
325	1092	2258
326	1095	2254
327	1097	2249
328	1100	2244
329	1103	2241
330	1105	2235
331	1109	2231
332	1110	2224
333	1114	2222
334	1116	2216
335	1118	2210
336	1120	2204
337	1123	2200
338	1125	2193
339	1128	2190
340	1131	2186
341	1134	2182
342	1135	2175
343	1137	2168
344	1139	2162
345	1142	2159
346	1145	2155
347	1149	2152
348	1152	2149
349	1155	2145
350	1156	2137
351	1158	2132
352	1159	2125
353	1160	2118
354	1161	2110
355	1164	2106
356	1166	2100
357	1169	2096
358	1172	2094
359	1175	2089
360	1177	2084
361	1179	2078
362	1182	2075
363	1185	2071
364	1187	2066
365	1191	2064
366	1194	2059
367	1196	2054
368	1198	2049
369	1201	2045
370	1202	2038
371	1204	2033
372	1207	2029
373	1208	2022
374	1210	2018
375	1211	2010
376	1214	2006
377	1217	2002
378	1217	1995
379	1219	1989
380	1220	1983
381	1221	1976
382	1222	1969
383	1223	1962
384	1223	1955
385	1226	1950
386	1228	1946
387	1229	1939
388	1232	1935
389	1233	1928
390	1233	1921
391	1234	1914
392	1235	1907
393	1236	1901
394	1238	1897
395	1239	1890
396	1240	1884
397	1241	1878
398	1242	1871
399	1243	1864
400	1244	1858
401	1246	1854
402	1247	1848
403	1248	1841
404	1248	1834
405	1251	1830
406	1252	1824
407	1253	1818
408	1256	1816
409	1257	1809
410	1258	1803
411	1259	1796
412	1261	1792
413	1263	1788
414	1266	1785
415	1268	1780
416	1269	1774
417	1271	1770
418	1272	1764
419	1273	1758
420	1274	1752
421	1276	1748
422	1277	1742
423	1279	1737
424	1280	1732
425	1282	1728
426	1285	1724
427	1286	1718
428	1287	1713
429	1287	1707
430	1288	1701
431	1291	1697
432	1291	1691
433	1293	1686
434	1294	1680
435	1294	1674
436	1297	1671
437	1297	1665
438	1298	1659
439	1300	1654
440	1300	1648
441	1301	1643
442	1302	1637
443	1303	1632
444	1304	1626
445	1306	1622
446	1309	1620
447	1312	1617
448	1313	1611
449	1314	1606
450	1315	1601
451	1316	1596
452	1317	1590
453	1318	1585
454	1318	1579
455	1319	1574
456	1321	1570
457	1322	1565
458	1323	1559
459	1324	1554
460	1325	1549
461	1325	1544
462	1328	1540
463	1329	1535
464	1331	1531
465	1332	1526
466	1333	1521
467	1336	1518
468	1336	1513
469	1337	1508
470	1338	1503
471	1339	1498
472	1341	1494
473	1342	1489
474	1344	1486
475	1347	1482
476	1347	1477
477	1350	1474
478	1350	1469
479	1351	1463
480	1352	1458
481	1352	1453
482	1353	1448
483	1354	1443
484	1354	1438
485	1355	1433
486	1356	1428
487	1357	1424
488	1358	1419
489	1360	1416
490	1361	1411
491	1362	1406
492	1363	1401
493	1365	1398
494	1367	1395
495	1368	1390
496	1369	1386
497	1371	1382
498	1372	1377
499	1373	1373
500	1374	1369
501	1377	1366
502	1378	1361
503	1378	1356
504	1379	1352
505	1380	1347
506	1380	1342
507	1381	1337
508	1382	1333
509	1384	1330
510	1386	1327
511	1387	1322
512	1388	1318
513	1390	1314
514	1391	1310
515	1394	1307
516	1394	1303
517	1395	1298
518	1398	1295
519	1399	1291
520	1399	1287
521	1400	1282
522	1401	1278
523	1402	1274
524	1405	1271
525	1406	1267
526	1408	1264
527	1409	1259
528	1409	1255
529	1410	1250
530	1411	1246
531	1413	1243
532	1414	1239
533	1415	1235
534	1416	1230
535	1418	1227
536	1419	1223
537	1419	1219
538	1420	1215
539	1421	1210
540	1422	1206
541	1423	1202
542	1423	1198
543	1424	1194
544	1426	1191
545	1427	1187
546	1428	1183
547	1430	1179
548	1430	1175
549	1431	1171
550	1432	1167
551	1432	1162
552	1435	1160
553	1436	1156
554	1439	1153
555	1439	1149
556	1442	1147
557	1443	1143
558	1443	1139
559	1446	1136
560	1448	1133
561	1451	1130
562	1453	1128
563	1455	1125
564	1456	1121
565	1458	1118
566	1459	1114
567	1460	1110
568	1461	1106
569	1463	1104
570	1464	1100
571	1465	1096
572	1467	1093
573	1469	1090
574	1469	1086
575	1470	1082
576	1473	1079
577	1473	1076
578	1474	1072
579	1477	1069
580	1477	1065
581	1478	1061
582	1479	1058
583	1479	1054
584	1481	1050
585	1482	1047
586	1482	1043
587	1483	1039
588	1486	1036
589	1488	1034
590	1491	1031
591	1493	1029
592	1495	1026
593	1498	1023
594	1498	1020
595	1501	1017
596	1503	1014
597	1504	1011
598	1504	1007
599	1507	1004
600	1509	1002
601	1512	999
602	1512	996
603	1513	992
604	1514	988
605	1516	986
606	1519	983
607	1520	980
608	1521	976
609	1523	974
610	1525	971
611	1526	967
612	1529	965
613	1529	961
614	1532	959
615	1534	956
616	1535	952
617	1537	950
618	1538	947
619	1540	944
620	1543	941
621	1544	938
622	1544	934
623	1547	932
624	1548	928
625	1549	925
626	1550	922
627	1552	919
628	1554	916
629	1554	913
630	1557	910
631	1559	908
632	1560	904
633	1563	902
634	1563	898
635	1566	896
636	1568	893
637	1571	891
638	1571	887
639	1573	884
640	1573	881
641	1576	879
642	1577	875
643	1579	873
644	1581	870
645	1582	867
646	1584	864
647	1587	862
648	1588	858
649	1590	856
650	1591	852
651	1593	850
652	1595	848
653	1596	844
654	1597	841
655	1599	838
656	1600	835
657	1600	832
658	1601	828
659	1602	825
660	1602	822
661	1603	818
662	1605	816
663	1607	813
664	1607	810
665	1608	806
666	1610	804
667	1613	801
668	1614	798
669	1616	796
670	1618	793
671	1621	791
672	1621	787
673	1624	785
674	1626	783
675	1629	780
676	1631	778
677	1634	776
678	1636	773
679	1637	770
680	1640	768
681	1641	765
682	1643	762
683	1645	760
684	1648	758
685	1649	754
686	1649	751
687	1650	748
688	1652	746
689	1655	743
690	1657	741
691	1660	738
692	1660	735
693	1662	733
694	1664	730
695	1666	728
696	1667	724
697	1670	722
698	1672	720
699	1674	717
700	1676	714
701	1678	712
702	1680	710
703	1683	707
704	1685	705
705	1686	702
706	1687	699
707	1687	696
708	1690	693
709	1691	690
710	1692	687
711	1694	685
712	1696	682
713	1700	681
714	1703	678
715	1704	676
716	1706	673
717	1710	671
718	1713	669
719	1715	666
720	1716	664
721	1717	661
722	1720	659
723	1721	656
724	1722	653
725	1725	651
726	1725	648
727	1728	645
728	1729	642
729	1732	640
730	1733	637
731	1735	635
732	1738	633
733	1741	630
734	1742	628
735	1745	626
736	1746	623
737	1749	620
738	1751	618
739	1753	616
740	1756	613
741	1757	611
742	1759	608
743	1762	606
744	1763	603
745	1767	601
746	1770	599
747	1771	596
748	1774	594
749	1778	592
750	1781	590
751	1783	588
752	1787	586
753	1788	583
754	1791	581
755	1795	579
756	1799	577
757	1803	575
758	1806	573
759	1807	570
760	1810	568
761	1812	566
762	1813	563
763	1816	561
764	1817	558
765	1820	556
766	1823	553
767	1824	551
768	1828	549
769	1830	546
770	1832	544
771	1835	541
772	1836	539
773	1838	536
774	1840	534
775	1844	532
776	1847	530
777	1848	527
778	1849	524
779	1853	522
780	1855	520
781	1857	517
782	1858	515
783	1860	512
784	1862	510
785	1863	507
786	1864	504
787	1865	501
788	1867	499
789	1868	496
790	1869	493
791	1871	491
792	1874	489
793	1875	486
794	1877	484
795	1880	481
796	1881	479
797	1882	476
798	1884	474
799	1886	471
800	1889	469
801	1890	466
802	1892	464
803	1893	461
804	1896	459
805	1899	457
806	1903	455
807	1906	452
808	1907	450
809	1910	448
810	1912	445
811	1915	443
812	1916	440
813	1917	438
814	1919	435
815	1920	433
816	1921	430
817	1923	427
818	1925	425
819	1927	423
820	1930	420
821	1931	418
822	1933	415
823	1935	413
824	1938	411
825	1941	409
826	1943	406
827	1945	404
828	1946	401
829	1949	399
830	1951	396
831	1952	394
832	1954	391
833	1955	389
834	1956	386
835	1958	384
836	1960	381
837	1962	379
838	1964	377
839	1966	374
840	1967	372
841	1969	369
842	1972	367
843	1974	364
844	1975	362
845	1980	360
846	1981	357
847	1983	355
848	1986	353
849	1989	351
850	1990	348
851	1991	346
852	1992	343
853	1995	341
854	1999	339
855	2000	336
856	2003	334
857	2005	331
858	2006	329
859	2008	327
860	2012	324
861	2013	322
862	2016	320
863	2018	317
864	2021	315
865	2023	313
866	2025	310
867	2029	308
868	2032	306
869	2033	303
870	2034	301
871	2036	298
872	2037	296
873	2038	293
874	2039	291
875	2040	288
876	2041	286
877	2042	283
878	2044	281
879	2047	279
880	2050	276
881	2051	274
882	2054	272
883	2057	270
884	2058	267
885	2062	265
886	2063	262
887	2066	260
888	2067	258
889	2069	255
890	2070	253
891	2072	250
892	2073	248
893	2076	246
894	2079	243
895	2082	241
896	2083	239
897	2084	236
898	2085	234
899	2087	231
900	2089	229
901	2093	227
902	2095	225
903	2098	222
904	2100	220
905	2106	218
906	2109	216
907	2113	214
908	2115	211
909	2117	209
910	2118	206
911	2121	204
912	2122	202
913	2126	200
914	2130	197
915	2133	195
916	2135	193
917	2138	191
918	2140	188
919	2143	186
920	2145	184
921	2149	181
922	2150	179
923	2151	176
924	2151	174
925	2152	172
926	2155	169
927	2156	167
928	2157	164
929	2158	162
930	2160	160
931	2161	157
932	2162	155
933	2163	152
934	2164	150
935	2165	148
936	2167	145
937	2169	143
938	2172	141
939	2172	138
940	2174	136
941	2176	133
942	2178	131
943	2180	129
944	2183	127
945	2185	124
946	2186	122
947	2187	119
948	2189	117
949	2190	115
950	2191	112
951	2191	110
952	2192	108
953	2195	105
954	2195	103
955	2197	101
956	2197	98
957	2198	96
958	2200	94
959	2200	91
960	2201	89
961	2202	86
962	2202	84
963	2203	82
964	2205	80
965	2208	77
966	2208	75
967	2213	73
968	2213	70
969	2214	68
970	2216	66
971	2217	63
972	2220	61
973	2222	59
974	2223	57
975	2223	54
976	2224	52
977	2227	50
978	2230	47
979	2232	45
980	2232	43
981	2233	40
982	2233	38
983	2234	36
984	2235	34
985	2238	31
986	2239	29
987	2240	27
988	2243	24
989	2245	22
990	2249	20
991	2250	18
992	2253	15
993	2254	13
994	2257	11
995	2259	9
996	2262	6
997	2262	4
998	2263	2
999	2264	0
