iter	RMSE
892	145.722175
893	145.719701
894	145.7059429
895	145.6960438
896	145.6952886
897	145.6952885
898	145.6952885
899	145.6952885
900	145.6929269
901	145.3880328
902	145.3873061
903	145.2152974
904	145.2142779
905	145.2104511
906	144.971901
907	144.8725066
908	144.8595829
909	144.859577
910	144.8595713
911	144.8343935
912	144.8343879
913	144.7626123
914	144.7403889
915	144.644501
916	144.6443757
917	144.5014424
918	144.5013333
919	144.5003725
920	144.4993386
921	144.4310011
922	144.4309939
923	144.4309869
924	144.4309869
925	144.4300416
926	144.3817663
927	144.3817607
928	144.3806342
929	144.3806342
930	144.3335976
931	144.3334862
932	144.3330667
933	144.3330667
934	144.3329613
935	144.3329612
936	144.3220939
937	144.320168
938	144.317217
939	144.317217
940	144.316325
941	144.3154675
942	144.3138235
943	144.313344
944	144.2783491
945	144.1697887
946	144.1697429
947	144.1692089
948	144.0810927
949	144.0806074
950	144.0806074
951	144.0805768
952	144.0801069
953	144.0430198
954	144.0430197
955	144.0429886
956	144.042964
957	144.0423214
958	144.0354792
959	144.0349951
960	144.0349951
961	144.034995
962	144.0341662
963	144.0341662
964	144.0228744
965	144.0046478
966	144.0046477
967	143.9946541
968	143.994654
969	143.9946539
970	143.986997
971	143.9869969
972	143.9002248
973	143.7527614
974	143.7527613
975	143.7527612
976	143.7527058
977	143.7431601
978	143.6882231
979	143.6882075
980	143.6882073
981	143.6882072
982	143.6882071
983	143.6881772
984	143.6881487
985	143.6479193
986	143.6478938
987	143.6478937
988	143.6336813
989	143.6301677
990	143.6177623
991	143.6177342
992	143.6170556
993	143.6170554
994	143.5375567
995	143.5313353
996	143.528846
997	143.5288459
998	143.5284135
999	143.5283788
